Model,Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Agfa ePhoto 1280,114,70,40,4,420,95,179
Agfa ePhoto 1680,114,50,0,4,420,158,179
Agfa ePhoto CL18,45,0,0,2,0,0,179
Agfa ePhoto CL30,35,0,0,4,0,0,269
Agfa ePhoto CL30 Clik!,43,50,0,40,300,128,1299
Agfa ePhoto CL45,51,50,20,8,270,119,179
Agfa ePhoto CL50,102,0,0,8,0,0,179
Canon PowerShot 350,42,70,3,2,320,93,149
Canon PowerShot 600,50,40,10,1,460,160,139
Canon PowerShot A10,105,76,16,8,375,110,139
Canon PowerShot A100,39,20,5,8,225,110,139
Canon PowerShot A20,105,76,16,8,375,110,139
Canon PowerShot A200,39,20,5,8,225,110,139
Canon PowerShot A30,105,76,16,8,350,110,139
Canon PowerShot A300,33,20,5,32,225,111,139
Canon PowerShot A310,33,0,5,0,205,110,139
Canon PowerShot A40,105,76,16,8,350,110,139
Canon PowerShot A400,100,0,5,16,255,107,139
Canon PowerShot A410,131,0,1,16,195,103,139
Canon PowerShot A420,125,47,1,16,200,103,139
Canon PowerShot A430,156,47,1,16,210,103,139
Canon PowerShot A450,122,47,1,16,215,106,139
Canon PowerShot A460,152,47,1,16,215,106,139
Canon PowerShot A5,35,50,9,8,240,105,149
Canon PowerShot A50,70,50,17,8,290,103,149
Canon PowerShot A510,140,0,5,16,230,91,139
Canon PowerShot A520,140,0,5,16,230,91,149
Canon PowerShot A530,140,45,5,16,220,90,149
Canon PowerShot A540,140,45,5,16,230,90,149
Canon PowerShot A550,140,45,5,16,210,91,149
Canon PowerShot A560,140,45,5,16,205,91,149
Canon PowerShot A570 IS,140,45,5,16,215,90,149
Canon PowerShot A5 Zoom,70,50,17,8,290,103,149
Canon PowerShot A60,105,46,5,16,315,101,139
Canon PowerShot A610,140,0,1,16,285,105,139
Canon PowerShot A620,140,0,1,32,285,105,139
Canon PowerShot A630,140,0,1,16,315,109,139
Canon PowerShot A640,140,0,1,32,315,109,139
Canon PowerShot A650 IS,210,0,1,32,300,97,399
Canon PowerShot A70,105,46,5,16,315,101,139
Canon PowerShot A700,210,55,1,16,250,94,139
Canon PowerShot A710 IS,210,55,1,16,210,98,139
Canon PowerShot A720 IS,210,55,1,16,250,97,399
Canon PowerShot A75,105,46,5,32,315,101,139
Canon PowerShot A80,114,46,5,32,350,103,139
Canon PowerShot A85,105,0,5,32,300,101,139
Canon PowerShot A95,114,45,5,32,335,101,139
Canon EOS 10D,0,0,0,0,875,150,1299
Canon EOS-1D,0,0,0,0,1585,156,4499
Canon EOS-1D Mark II,0,0,0,0,1565,156,4499
Canon EOS-1D Mark III,0,0,0,0,1335,156,4499
Canon EOS-1D Mark II N,0,0,0,0,1565,156,4499
Canon EOS-1Ds,0,0,0,0,1585,156,7999
Canon EOS-1Ds Mark II,0,0,0,0,1565,156,7999
